"Invalid alias, already exists in joint attributes","Alias invalide, déjà utilisé dans les attributs de jointure",module,Magento_Eav
"Invalid foreign key","Clé étrangère invalide.",module,Magento_Eav
"Invalid entity type","Type d'entité invalide.",module,Magento_Eav
"Invalid attribute type","Type d'attribut invalide",module,Magento_Eav
"Invalid joint fields","Champs de jointure invalides.",module,Magento_Eav
"Data integrity: No header row found for attribute","Intégrité des données : aucune ligne d'en-tête trouvée pour l'attribut.",module,Magento_Eav
"Invalid form type.","Type de formulaire invalide.",module,Magento_Eav
"Attribute with the same code","Attribut avec le même code",module,Magento_Eav
"Default option value is not defined","La valeur par défaut de l'option n'est pas définie.",module,Magento_Eav
"Form Element with the same attribute","Il existe déjà un élément de formulaire avec le même attribut",module,Magento_Eav
"Form Fieldset with the same code","Il existe déjà un groupe de champs de formulaire avec le même code",module,Magento_Eav
"Form Type with the same code","Il existe déjà un type de formulaire avec le même code",module,Magento_Eav
"Wrong entity ID","Mauvais identifiant d'entité.",module,Magento_Eav
"Wrong attribute set ID","Mauvais identifiant de jeu d'attributs.",module,Magento_Eav
"Wrong attribute group ID","Mauvais identifiant de groupe d'attributs.",module,Magento_Eav
None,Aucun,module,Magento_Security
"some error","une erreur",module,Magento_Security
"IP Address","Adresse IP",module,Magento_Security
"Now Shopping by","Livraison #%shipment_id pour la commande #%order_id",theme,frontend/Magento/luma
Previous,Précédent,theme,frontend/Magento/luma
Remove,Supprimer,theme,frontend/Magento/luma
"Remove This Item","Retirer cet élément",theme,frontend/Magento/luma
"Shop By","Filtrer par",theme,frontend/Magento/luma
"Clear All","Tout supprimer",theme,frontend/Magento/luma
"Shopping Options","Affiner la recherche",theme,frontend/Magento/luma
"Welcome to %store_name","Bienvenue sur %store_name",theme,frontend/Magento/luma
"Welcome to %store_name.","Bienvenue sur %store_name.",theme,frontend/Magento/luma
"To sign in to our site, use these credentials during checkout or on the <a href=""%customer_url"">My Account</a> page:","Pour vous connecter à notre site, utiliser ces informations d'identification lors de votre commande ou sur la page <a href=""%customer_url""> Mon compte</a> :",theme,frontend/Magento/luma
Email:,"Email :",theme,frontend/Magento/luma
Password:,"Mot de passe :",theme,frontend/Magento/luma
"Password you set when creating account","Mot de passe défini lors de la création de compte",theme,frontend/Magento/luma
"Forgot your account password? Click <a href=""%reset_url"">here</a> to reset it.","Mot de passe oublié ? Cliquez <a href=""%reset_url""> ici</a> pour le réinitialiser.",theme,frontend/Magento/luma
"When you sign in to your account, you will be able to:","Lorsque vous vous connectez à votre compte, vous serez en mesure de :",theme,frontend/Magento/luma
